run_number,ifrs_17_group,underlying_group,variable,run_step,currency,2020-09-30,2020-10-31,2020-11-30,2020-12-31
141.0,,,DELTA_LRC_LRECC,PAA_FCF_RELEASE,,0,0,0,0
141.0,,,DELTA_RA_GMM,PAA_FCF_RELEASE,,0,0,0,0
141.0,,,BEL_IFRS17_GMM,PAA_FCF_RELEASE,,0,0,0,0
141.0,,,CLAIM_RECOVERY_PERCENT,PAA_FCF_RELEASE,,0,0,0,0
141.0,,,DELTA_BEL_IFRS17_GMM,PAA_FCF_RELEASE,,0,0,0,0
141.0,,,DELTA_FCF_GMM,PAA_FCF_RELEASE,,0,0,0,0
141.0,,,FCF_GMM,PAA_FCF_RELEASE,,0,0,0,0
141.0,,,RA_GMM,PAA_FCF_RELEASE,,0,0,0,0
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,AQE_PAID,PAA_CF_VARIANCE,,0,0,0,0
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,AQE_PAID_SUM,PAA_CF_VARIANCE,,0,0,0,0
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,LRC_P,PAA_CF_VARIANCE,,0,86463,1181642,2354373
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,P_PAID_FUT_SUM,PAA_CF_VARIANCE,,0,-956008,-2051187,-3223918
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,LRC,PAA_CF_VARIANCE,,0,86463,1181642,2354373
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,P_PAID_FUT,PAA_CF_VARIANCE,,0,-956008,-1095179,-1172731
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,LRC_AQE,PAA_CF_VARIANCE,,0,0,0,0
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,DELTA_LRC,PAA_CF_VARIANCE,,0,956008,2051187,3223918
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,DELTA_LRC_P,PAA_CF_VARIANCE,,0,956008,2051187,3223918
142.0,BAF_BAH_Mort_Burial_2020_Remaining,,DELTA_LRC_AQE,PAA_CF_VARIANCE,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,AQE_CUR_SER,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,A_AQE,PAA_AMORTIZATION,,0,0,0,0
